"FIPS","NAME","SHAPE_AREA","SHAPE_LEN","ending","1","2"
15120,"Newton",26017443.1755,24075.2100777,"ton",-71.0428888730148,42.8688542523803
11140,"Temple",58651790.399,34170.2209836,"le",-71.8570514003502,42.8308555508218
15140,"Plaistow",27773590.429,24737.075948,"tow",-71.0959079725417,42.8404351542801
11150,"Wilton",66001324.1108,32628.1131051,"ton",-71.7750290276029,42.8329910391573
5100,"Troy",45618152.9142,33745.9834658,"oy",-72.1935049582875,42.829565702506
5040,"Jaffrey",104395710.856,42191.1794265,"rey",-72.0627412377913,42.8316513363464
15005,"Atkinson",29716004.7318,26443.8455515,"son",-71.1604921915351,42.8373429454628
11100,"Milford",65996529.6015,41746.3069752,"ford",-71.6755049360549,42.8192333040141
5035,"Hinsdale",60354767.6565,43102.5238046,"dale",-72.5062339623787,42.8118084353701
5115,"Winchester",147657425.188,51796.2624282,"er",-72.4048372776875,42.788458415478
15160,"Salem",68266340.3732,39339.3474863,"lem",-71.2207077867149,42.7904039230446
15185,"Windham",72609557.5088,35078.2238702,"ham",-71.3010337851489,42.8081307721381
11135,"Sharon",40472298.0651,26147.0620831,"ron",-71.9372183545903,42.8184660035932
11070,"Hudson",76467097.825,40562.888778,"son",-71.4086287415639,42.76442430314
5065,"Richmond",100434321.942,40687.9435223,"mond",-72.2759499974961,42.7672269743632
5020,"Fitzwilliam",96121539.1793,41709.8338278,"iam",-72.1518064527517,42.7606851512569
11110,"Nashua",83392027.4035,45309.4976957,"ua",-71.4925884022338,42.7497689948337
11065,"Hollis",86406985.0986,38978.2926808,"is",-71.5865109779785,42.7497342059198
11090,"Mason",64250380.9307,36283.2596668,"on",-71.7521416808317,42.7483056339764
5070,"Rindge",106740926.962,42142.1695241,"ge",-72.0141912726473,42.7536605447015
11025,"Brookline",51559925.4685,31006.3927478,"line",-71.6738973589103,42.7475221338771
11050,"Greenville",17441607.199,18640.5446053,"ille",-71.8021659019343,42.7601933469744
11120,"New Ipswich",88450007.1952,38007.1141939,"wich",-71.8775851725944,42.7501387127371
11125,"Pelham",70772373.142,35689.7385401,"ham",-71.3246345672037,42.7334867498893
13020,"Bow",73642118.1836,40156.2044046,"ow",-71.5299345043772,43.1323171406172
13005,"Allenstown",54141084.1973,34662.7604824,"town",-71.3809908548113,43.1387361929586
5005,"Alstead",101184492.353,41363.3071069,"tead",-72.3122550613534,43.1154364823648
17025,"Lee",52717566.7765,31597.2485987,"ee",-71.0051227253399,43.1194538255268
5105,"Walpole",94984684.7183,49803.7949027,"pole",-72.4100610459158,43.0747421659536
17015,"Durham",64320395.4011,34951.7864634,"ham",-70.9172339053665,43.1167518566832
11155,"Windsor",22801659.3231,22864.6116379,"sor",-72.0195265275429,43.1143184123549
13050,"Dunbarton",83152831.8174,40868.9517928,"ton",-71.6049692986742,43.1030079495627
11145,"Weare",154892454.038,50023.496688,"are",-71.7224679293893,43.0831175128375
5080,"Stoddard",137951341.174,50507.5653649,"dard",-72.1174224406154,43.0795779730912
15110,"Newington",32384202.8185,26161.2758557,"ton",-70.8332151312562,43.0921565275365
11030,"Deering",81378074.506,38932.416942,"ing",-71.8518426204187,43.0767078656832
13075,"Hooksett",96785282.9421,44860.3689083,"ett",-71.4356025633096,43.0724407268581
11010,"Antrim",95264478.831,45189.1476709,"rim",-71.984414611886,43.0553886931573
15020,"Candia",79070715.8163,36343.6199127,"ia",-71.308244741141,43.0601570937998
15145,"Portsmouth",43653145.8385,27646.9551458,"mouth",-70.7801366534097,43.0566465023736
15115,"Newmarket",36748485.6618,28465.1362466,"ket",-70.9498034994302,43.0686934962427
15050,"Epping",67456900.7551,33914.6603305,"ing",-71.0739616889892,43.0505231477754
15150,"Raymond",76897435.8905,35361.9056592,"ond",-71.1985875262032,43.0326725069312
5025,"Gilsum",43792588.2217,34466.5104575,"sum",-72.2677446369519,43.0417471824648
15065,"Greenland",34545921.6532,29658.505853,"land",-70.8463325728629,43.0376575573558
15100,"New Castle",5324048.6761,10699.9391473,"tle",-70.7159061892476,43.0633606259267
5090,"Surry",40470314.726,28302.0744175,"ry",-72.333751712846,43.0226571797366
11040,"Goffstown",99098067.7486,40668.8322161,"town",-71.5682089396578,43.0199196673808
15180,"Stratham",39994638.207,26386.8928179,"tham",-70.8989445547049,43.0153807261773
15155,"Rye",33730213.3189,35012.2808567,"ye",-70.7605824397495,43.0127635301589
5085,"Sullivan",48284942.8227,29136.909454,"van",-72.2170931163488,43.0190039361268
15105,"Newfields",18980703.9017,23282.6112083,"fields",-70.9653688541635,43.0388866155661
11020,"Bennington",29485155.0498,29240.0226105,"ton",-71.909296619485,43.0143781558971
11085,"Manchester",90883316.4227,52433.4954387,"ter",-71.4444296557456,42.9855899356599
15010,"Auburn",75348731.5829,36335.009944,"burn",-71.3436594572198,42.9913216990368
11035,"Francestown",79897201.5678,41946.5051072,"town",-71.8161895985436,42.9978448594879
15015,"Brentwood",44339038.1507,29339.469283,"wood",-71.0429557249103,42.9895181370232
15055,"Exeter",51606413.2303,34128.9000008,"ter",-70.9627789623601,42.9898755952692
11115,"New Boston",112469042.834,42653.8812742,"ton",-71.6864511983078,42.9786797039104
5060,"Nelson",60024137.0759,34668.1714438,"son",-72.1230195414196,42.9958725300113
5110,"Westmoreland",93743442.9474,48271.7345739,"land",-72.4364073424957,42.9708762768599
15025,"Chester",67989295.8453,42067.180091,"ter",-71.250202509949,42.9678114463198
15060,"Fremont",45382514.8673,27355.2279497,"mont",-71.1237031113539,42.9894653929062
11055,"Hancock",81342621.5178,40509.8471672,"ock",-71.9974353939027,42.9778915303974
15125,"North Hampton",35654756.0768,27123.2602367,"ton",-70.8287333298318,42.9783461314351
5045,"Keene",97468242.1089,46224.877196,"ne",-72.3037916407597,42.9519683453933
11045,"Greenfield",70312807.8399,49081.882791,"field",-71.8718293564428,42.9419046600822
5075,"Roxbury",31689027.4361,26704.7302332,"bury",-72.2044167688618,42.9543922094383
11015,"Bedford",85727640.8623,40841.4282696,"ford",-71.5308141567429,42.9413308336774
5030,"Harrisville",51883448.0391,36820.100514,"ville",-72.093896076327,42.9438684537443
15075,"Hampton",35459628.3094,31851.9613476,"ton",-70.8353242204849,42.9387712513699
15073,"Hampton Falls",32584819.2259,31643.5827322,"ton",-70.884353015215,42.9270725384584
15165,"Sandown",37385501.7413,25282.3093317,"down",-71.1824803929029,42.9336222380646
15085,"Kensington",30673989.3402,23015.9338213,"ton",-70.9483351864071,42.9286506132053
15030,"Danville",30587311.698,22761.5551266,"ville",-71.120406047178,42.9290102035481
15090,"Kingston",54742201.1437,39030.5799205,"ton",-71.0656041732675,42.9161156999156
11080,"Lyndeborough",78834060.2679,49015.6671318,"borough",-71.7748731121316,42.9044931169506
15045,"East Kingston",26117675.1328,20735.6378724,"ton",-71.0023934971983,42.9248615212719
15095,"Londonderry",108807434.367,46048.9596679,"erry",-71.3880101816579,42.8804379381249
11130,"Peterborough",99539237.0599,40059.220765,"borough",-71.941461194019,42.892710128136
11005,"Amherst",88523856.1787,47135.8145341,"herst",-71.6083081965273,42.8716492948573
15040,"Derry",94623613.2514,40236.6520754,"ry",-71.2806538591129,42.8894927861441
5010,"Chesterfield",123610684.83,47353.3626538,"field",-72.4583937344657,42.8934886480687
5050,"Marlborough",52853955.7894,33533.611173,"borough",-72.1873796021587,42.8931308639235
11105,"Mont Vernon",43610013.7273,30487.0217553,"on",-71.6838894083154,42.9032560422842
5015,"Dublin",76036500.2097,37652.3331957,"lin",-72.0751191958318,42.8966365135111
5095,"Swanzey",118792941.371,47204.6148976,"zey",-72.3000481310046,42.865326526506
15070,"Hampstead",36868039.5594,28838.2347715,"stead",-71.1706481062395,42.882624533982
