idx,name,class,start,end,cost,col2,date,date2,mid,monday,year,display_name,label
154,Colorado Hail Storm,ind severe-storm-ind,1990-07-11,1990-07-11,1.6,#9d76b0,1990-07-11,1990-07-11,1990-07-11,2017-07-11,1990,Colorado Hail Storm,NA
155,Western Fire Season,ind wildfire-ind,2000-03-01,2000-08-31,1.6,#9b0e11,2000-03-01,2000-08-31,2000-05-31,2017-05-31,2000,Western Fire Season,NA
156,Pacific Northwest Severe Flooding,ind flooding-ind,1996-02-07,1996-02-12,1.6,#699d8f,1996-02-07,1996-02-12,1996-02-09,2017-02-09,1996,Pacific Northwest Severe Flooding,NA
157,Midwest/ Ohio Valley Severe Weather,ind severe-storm-ind,2015-04-07,2015-04-09,1.6,#9d76b0,2015-04-07,2015-04-09,2015-04-08,2017-04-08,2015,Midwest/Ohio Valley Severe Weather,NA
158,Colorado Flooding,ind flooding-ind,2013-09-10,2013-09-16,1.6,#699d8f,2013-09-10,2013-09-16,2013-09-13,2017-09-13,2013,Colorado Flooding,NA
159,Western/ Eastern Severe Weather and Flooding,ind severe-storm-ind,1997-12-01,1998-02-28,1.5,#9d76b0,1997-12-01,1998-02-28,1998-01-14,2017-01-14,1998,Western/Eastern Severe Weather and Flooding,NA
160,Rockies/ Plains Severe Weather,ind severe-storm-ind,2014-09-29,2014-10-02,1.5,#9d76b0,2014-09-29,2014-10-02,2014-09-30,2017-09-30,2014,Rockies/Plains Severe Weather,NA
161,Rockies and Northeast Severe Weather,ind severe-storm-ind,2016-07-28,2016-07-30,1.5,#9d76b0,2016-07-28,2016-07-30,2016-07-29,2017-07-29,2016,Rockies and Northeast Severe Weather,NA
162,Plains Severe Weather,ind severe-storm-ind,2014-04-02,2014-04-03,1.5,#9d76b0,2014-04-02,2014-04-03,2014-04-02,2017-04-02,2014,Plains Severe Weather,NA
163,Mississippi and Ohio Valley Severe Weather and Flooding,ind severe-storm-ind,1997-02-28,1997-03-05,1.5,#9d76b0,1997-02-28,1997-03-05,1997-03-02,2017-03-02,1997,Mississippi and Ohio Valley Severe Weather and Flooding,NA
164,Midwest/ Plains Severe Weather,ind severe-storm-ind,2013-04-07,2013-04-11,1.5,#9d76b0,2013-04-07,2013-04-11,2013-04-09,2017-04-09,2013,Midwest/Plains Severe Weather,NA
165,"Midwest, South and East Severe Weather",ind severe-storm-ind,2009-06-09,2009-06-12,1.5,#9d76b0,2009-06-09,2009-06-12,2009-06-10,2017-06-10,2009,"Midwest, South and East Severe Weather",NA
166,Hurricane Lili,ind tropical-cyclone-ind,2002-08-01,2002-08-05,1.5,#397dc2,2002-08-01,2002-08-05,2002-08-03,2017-08-03,2002,Hurricane Lili,1
167,Hurricane Dolly,ind tropical-cyclone-ind,2008-07-23,2008-07-25,1.5,#397dc2,2008-07-23,2008-07-25,2008-07-24,2017-07-24,2008,Hurricane Dolly,1
168,Hurricane Bonnie,ind tropical-cyclone-ind,1998-08-27,1998-08-29,1.5,#397dc2,1998-08-27,1998-08-29,1998-08-28,2017-08-28,1998,Hurricane Bonnie,1
169,Central and Eastern Winter Storm,ind winter-storm-ind,1999-01-01,1999-01-04,1.5,#61c6e2,1999-01-01,1999-01-04,1999-01-02,2017-01-02,1999,Central and Eastern Winter Storm,NA
170,California Flooding,ind flooding-ind,2017-02-08,2017-02-22,1.5,#699d8f,2017-02-08,2017-02-22,2017-02-15,2017-02-15,2017,California Flooding,NA
171,"Winter Storm, Cold Wave",ind winter-storm-ind,1989-12-21,1989-12-26,1.4,#61c6e2,1989-12-21,1989-12-26,1989-12-23,2017-12-23,1989,"Winter Storm, Cold Wave",NA
172,"Tornadoes, Severe Storms, Floods",ind severe-storm-ind,1984-03-27,1984-04-07,1.4,#9d76b0,1984-03-27,1984-04-07,1984-04-01,2017-04-01,1984,"Tornadoes, Severe Storms, Floods",NA
173,Texas Flooding,ind flooding-ind,1998-10-16,1998-10-24,1.4,#699d8f,1998-10-16,1998-10-24,1998-10-20,2017-10-20,1998,Texas Flooding,NA
174,Severe Storms,ind severe-storm-ind,1992-03-24,1992-03-25,1.4,#9d76b0,1992-03-24,1992-03-25,1992-03-24,2017-03-24,1992,Severe Storms,NA
175,U.S. Wildfires,ind wildfire-ind,2008-09-01,2008-11-30,1.4,#9b0e11,2008-09-01,2008-11-30,2008-10-16,2017-10-16,2008,U.S. Wildfires,NA
176,Southeast Tornadoes and Severe Weather,ind severe-storm-ind,2008-02-05,2008-02-06,1.4,#9d76b0,2008-02-05,2008-02-06,2008-02-05,2017-02-05,2008,Southeast Tornadoes and Severe Weather,NA
177,Severe Weather,ind severe-storm-ind,2003-07-21,2003-07-23,1.4,#9d76b0,2003-07-21,2003-07-23,2003-07-22,2017-07-22,2003,Severe Weather,NA
178,Rockies and Midwest Severe Weather,ind severe-storm-ind,2011-07-10,2011-07-14,1.4,#9d76b0,2011-07-10,2011-07-14,2011-07-12,2017-07-12,2011,Rockies and Midwest Severe Weather,NA
179,"Severe Storms, Hail",ind severe-storm-ind,1992-06-19,1992-06-20,1.3,#9d76b0,1992-06-19,1992-06-20,1992-06-19,2017-06-19,1992,"Severe Storms, Hail",NA
180,Midwest/ Plains/ Southeast Tornadoes,ind severe-storm-ind,1982-04-02,1982-04-04,1.3,#9d76b0,1982-04-02,1982-04-04,1982-04-03,2017-04-03,1982,Midwest/Plains/Southeast Tornadoes,NA
181,Central and Eastern Winter Storm,ind winter-storm-ind,1999-01-13,1999-01-16,1.3,#61c6e2,1999-01-13,1999-01-16,1999-01-14,2017-01-14,1999,Central and Eastern Winter Storm,NA
182,Southern Plains Tornadoes,ind severe-storm-ind,2015-05-06,2015-05-10,1.3,#9d76b0,2015-05-06,2015-05-10,2015-05-08,2017-05-08,2015,Southern Plains Tornadoes,NA
183,Southeast Tornadoes,ind severe-storm-ind,2008-03-14,2008-03-15,1.3,#9d76b0,2008-03-14,2008-03-15,2008-03-14,2017-03-14,2008,Southeast Tornadoes,NA
184,South/ Southeast Severe Weather,ind severe-storm-ind,2015-04-18,2015-04-20,1.3,#9d76b0,2015-04-18,2015-04-20,2015-04-19,2017-04-19,2015,South/Southeast Severe Weather,NA
185,"Severe Storms, Hail, Tornadoes",ind severe-storm-ind,2004-05-21,2004-05-27,1.3,#9d76b0,2004-05-21,2004-05-27,2004-05-24,2017-05-24,2004,"Severe Storms, Hail, Tornadoes",NA
186,Midwest/ Southeast Severe Weather,ind severe-storm-ind,2011-08-17,2011-08-18,1.3,#9d76b0,2011-08-17,2011-08-18,2011-08-17,2017-08-17,2011,Midwest/Southeast Severe Weather,NA
