frame.number,frame.time,eth.src,eth.dst,ip.src,frame.len,ip.dst,ip.proto
"300","Feb  9, 1970 02:07:55.521730000 EST","52:54:00:12:34:56","52:55:0a:00:02:03","10.0.2.15","75","10.0.2.3","17"
"301","Feb  9, 1970 02:07:55.556463000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","10.0.2.3","287","10.0.2.15","17"
"302","Feb  9, 1970 02:07:55.577145000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","66","108.162.232.199","6"
"303","Feb  9, 1970 02:07:55.589325000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.199","58","10.0.2.15","6"
"304","Feb  9, 1970 02:07:55.589884000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.199","6"
"305","Feb  9, 1970 02:07:55.591631000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","431","108.162.232.199","6"
"306","Feb  9, 1970 02:07:55.591679000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.199","54","10.0.2.15","6"
"307","Feb  9, 1970 02:07:55.621313000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.199","1514","10.0.2.15","6"
"308","Feb  9, 1970 02:07:55.622016000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.199","632","10.0.2.15","6"
"309","Feb  9, 1970 02:07:55.622509000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.199","6"
"310","Feb  9, 1970 02:07:55.823246000 EST","52:54:00:12:34:56","52:55:0a:00:02:03",,"42",,
"311","Feb  9, 1970 02:07:55.823265000 EST","52:55:0a:00:02:03","52:54:00:12:34:56",,"64",,
"312","Feb  9, 1970 02:07:55.926626000 EST","52:54:00:12:34:56","52:55:0a:00:02:03","10.0.2.15","80","10.0.2.3","17"
"313","Feb  9, 1970 02:07:55.948490000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","10.0.2.3","256","10.0.2.15","17"
"314","Feb  9, 1970 02:07:55.964891000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","66","108.162.232.196","6"
"315","Feb  9, 1970 02:07:55.979494000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.196","58","10.0.2.15","6"
"316","Feb  9, 1970 02:07:55.980064000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.196","6"
"317","Feb  9, 1970 02:07:55.981719000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","350","108.162.232.196","6"
"318","Feb  9, 1970 02:07:55.981757000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.196","54","10.0.2.15","6"
"319","Feb  9, 1970 02:07:56.015608000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.196","1514","10.0.2.15","6"
"320","Feb  9, 1970 02:07:56.016227000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.196","535","10.0.2.15","6"
"321","Feb  9, 1970 02:07:56.016574000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.196","6"
"322","Feb  9, 1970 02:07:56.324834000 EST","52:54:00:12:34:56","52:55:0a:00:02:03","10.0.2.15","79","10.0.2.3","17"
"323","Feb  9, 1970 02:07:56.341955000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","10.0.2.3","255","10.0.2.15","17"
"324","Feb  9, 1970 02:07:56.358210000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","66","108.162.232.204","6"
"325","Feb  9, 1970 02:07:56.372851000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.204","58","10.0.2.15","6"
"326","Feb  9, 1970 02:07:56.373470000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.204","6"
"327","Feb  9, 1970 02:07:56.375410000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","321","108.162.232.204","6"
"328","Feb  9, 1970 02:07:56.375467000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.204","54","10.0.2.15","6"
"329","Feb  9, 1970 02:07:56.399822000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.204","1514","10.0.2.15","6"
"330","Feb  9, 1970 02:07:56.400500000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.204","583","10.0.2.15","6"
"331","Feb  9, 1970 02:07:56.400770000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.204","6"
"332","Feb  9, 1970 02:08:10.407359000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","54","10.0.2.15","6"
"333","Feb  9, 1970 02:08:10.408500000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","93.184.215.200","6"
"334","Feb  9, 1970 02:08:10.408981000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","93.184.215.200","6"
"335","Feb  9, 1970 02:08:10.409013000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","54","10.0.2.15","6"
"336","Feb  9, 1970 02:08:41.630614000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.199","54","10.0.2.15","6"
"337","Feb  9, 1970 02:08:41.631649000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.199","6"
"338","Feb  9, 1970 02:08:41.632396000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.199","6"
"339","Feb  9, 1970 02:08:41.632435000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.199","54","10.0.2.15","6"
"340","Feb  9, 1970 02:08:42.018593000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.196","54","10.0.2.15","6"
"341","Feb  9, 1970 02:08:42.019195000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.196","6"
"342","Feb  9, 1970 02:08:42.019634000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.196","6"
"343","Feb  9, 1970 02:08:42.019677000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.196","54","10.0.2.15","6"
"344","Feb  9, 1970 02:08:42.401785000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.204","54","10.0.2.15","6"
"345","Feb  9, 1970 02:08:42.402280000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.204","6"
"346","Feb  9, 1970 02:08:42.402896000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","108.162.232.204","6"
"347","Feb  9, 1970 02:08:42.402941000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","108.162.232.204","54","10.0.2.15","6"
