"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Jones County, GA",28780,12,16,46,10,111,1.3,-6.8,49.8,13780,48,1572
"Tompkins County, NY",103180,6,21,45,7,90,3.2,1.1,30.1,0,0,2187
"Madison County, NY",72730,10,11,45,8,91,0,0.1,30.2,2250,3,2184
"Buchanan County, IA",20950,8,9,35,5,107,-2.2,-1.8,13.4,470,2,2711
"Mahaska County, IA",22420,9,15,38,6,93,-5,-1.4,30.7,40,0,2168
"Coffey County, KS",8490,8,9,39,9,109,0.8,0.8,13.2,0,0,2716
"Marion County, IA",33310,7,10,35,7,105,3.5,-3.1,11.8,600,2,2758
"Knox County, IL",52450,13,18,50,9,70,-1.1,-2.9,71.5,34860,67,892
"Sullivan County, MO",6550,17,16,46,18,78,-1.7,7.4,67.2,620,9,1026
"Mille Lacs County, MN",25890,12,13,42,6,80,11.2,2.3,19.2,0,0,2529
"Sumter County, FL",103710,11,11,77,8,106,22.9,16,16.8,19410,19,2604
"Wapello County, IA",35410,16,19,43,8,79,6.8,-3.4,55,0,0,1408
"Valley County, ID",9660,7,12,44,3,105,4.5,-1,12.9,0,0,2724
"Forrest County, MS",76160,16,29,47,14,93,2.7,0.2,67.4,44700,59,1022
"Jasper County, IL",9660,9,7,38,12,95,-5,-3.8,38.5,130,1,1926
"Jerauld County, SD",2050,12,11,38,9,98,5.2,5.2,13,0,0,2723
"Wood County, WI",74260,9,11,39,5,92,-1,-3.9,26.5,0,0,2300
"Hutchinson County, TX",21950,16,16,44,17,90,6.6,-1.6,56.8,0,0,1352
"Kerr County, TX",49910,12,16,50,8,82,2.3,-1.4,50.5,3340,7,1551
"Foster County, ND",3360,12,12,35,8,99,-3.7,-2.8,32.4,0,0,2114
"Somervell County, TX",8580,17,12,43,7,97,15.5,-3.5,29.5,0,0,2204
"Hartley County, TX",6090,20,9,53,6,124,29,28,14.2,0,0,2685
"Cochran County, TX",3030,33,16,48,25,78,-19.3,-17.5,95.2,2280,75,152
"Duval County, TX",11640,35,24,54,18,62,35.7,12.4,77.2,8490,73,713
"Falls County, TX",17520,25,22,56,26,64,-3.3,-4.3,98.1,12610,72,62
"Carver County, MN",94210,5,4,28,4,142,11.6,4.7,0.2,0,0,3122
"Turner County, SD",8340,10,10,34,10,102,-7.7,3.6,19.5,0,0,2517
"Lee County, MS",84590,17,19,43,11,110,3,1.1,43.2,2800,3,1778
"Rock County, NE",1440,8,8,36,14,93,-2.2,-2.2,33.7,0,0,2074
"Emporia city, VA",5680,30,35,55,11,47,-4,0,92.9,5510,97,222
"Fountain County, IN",17000,13,12,45,9,94,1.9,-2.1,41.2,0,0,1840
"Burke County, ND",2150,12,14,35,15,100,47.5,16.9,16,0,0,2629
"Potter County, TX",122050,24,22,42,10,72,3.5,1.7,63.9,44510,37,1129
"Marshall County, IN",47030,15,13,41,7,97,2.6,-3.9,36.3,0,0,1994
"Cannon County, TN",13790,21,18,50,10,88,7,4.9,48.1,370,3,1626
"Noble County, IN",47500,16,13,41,7,101,10.6,-5,30.3,0,0,2181
"Castro County, TX",8030,29,20,42,19,77,5,7.9,65.7,60,1,1074
